name,url,price_text,review_score_text,recommended_unit_text
Nearchou Boutique Hotel,https://www.booking.com/hotel/gr/nearchou-boutique.en-gb.html,€ 116,Scored 9.8 9.8 Exceptional 191 reviews,Deluxe Double Room 1 large double bed Breakfast included Free cancellation Only 1 room left at this price on our site
"Domes Zeen Chania, a Luxury Collection Resort, Crete",https://www.booking.com/hotel/gr/domes-zeen-chania.en-gb.html,€ 304,Scored 9.2 9.2 Superb 252 reviews,"Tropical Family Bungalow, Guest room, King, Garden view 2 beds (1 extra-large double, 1 sofa bed) Breakfast included Only 3 rooms left at this price on our site"
Archontiki City Hotel,https://www.booking.com/hotel/gr/archontiki.en-gb.html,€ 49,"Scored 8.3 8.3 Very good 1,124 reviews",Economy Single Room 1 single bed Free cancellation Only 1 room left at this price on our site
Rooms 47,https://www.booking.com/hotel/gr/rooms-47.en-gb.html,€ 39,Scored 7.4 7.4 Good 757 reviews,Double or Twin Room with Sea View Beds: 1 double or 2 singles Free cancellation Only 1 room left at this price on our site
MmeBassia,https://www.booking.com/hotel/gr/mmebassia.en-gb.html,€ 46,Scored 8.0 8.0 Very good 217 reviews,"Large Double Room 2 beds (1 single, 1 large double) Free cancellation Only 2 rooms left at this price on our site"
Loucerna Suites Chania,https://www.booking.com/hotel/gr/tower-loucerna.en-gb.html,€ 70,Scored 9.1 9.1 Superb 378 reviews,Superior Single Room with Sea View 1 single bed Breakfast included Only 1 room left at this price on our site
Constantinos Studios,https://www.booking.com/hotel/gr/constantino-s-studios.en-gb.html,€ 42,Scored 8.6 8.6 Fabulous 615 reviews,Single Studio Private suite 1 single bed Free cancellation Only 4 left at this price on our site
Areti Suites,https://www.booking.com/hotel/gr/areti-suites.en-gb.html,€ 77,"Scored 8.5 8.5 Very good 1,081 reviews",Economy Double Room 1 double bed Breakfast included Only 2 rooms left at this price on our site
Narkissos 'SUPERB',https://www.booking.com/hotel/gr/narkissos-chania.en-gb.html,€ 48,Scored 8.5 8.5 Very good 741 reviews,"Economy Double or Twin Room 2 beds (1 single, 1 large double) Only 1 room left at this price on our site"
Mosaic,https://www.booking.com/hotel/gr/euphoria-city-apartments.en-gb.html,€ 64,"Scored 9.4 9.4 Superb 1,209 reviews",Junior Suite with Balcony Private suite 1 large double bed Free cancellation Only 1 left at this price on our site
Hilton Garden Inn Chania City,https://www.booking.com/hotel/gr/hilton-garden-inn-chania-city.en-gb.html,€ 184,Scored 9.9 9.9 Exceptional 13 reviews,Twin Room 2 single beds Free cancellation No prepayment needed – pay at the property
Old Town Suites,https://www.booking.com/hotel/gr/old-town-suites.en-gb.html,€ 59,Scored 8.5 8.5 Very good 511 reviews,Standard Studio Entire studio • 1 bathroom • 19 m² 1 extra-large double bed Only 1 left at this price on our site
Notus Chania Crete,https://www.booking.com/hotel/gr/notus.en-gb.html,€ 98,Scored 8.9 8.9 Fabulous 439 reviews,"Superior Studio Ground Floor with Veranda Entire studio • 1 bathroom • 30 m² 2 beds (1 sofa bed, 1 large double) Only 1 left at this price on our site"
Mare Boutique,https://www.booking.com/hotel/gr/mare-boutique.en-gb.html,€ 29,Scored 8.2 8.2 Very good 27 reviews,Superior Queen Room 1 double bed Only 2 rooms left at this price on our site
Panthea Luxury Living,https://www.booking.com/hotel/gr/panthea-luxury-living-khania2.en-gb.html,€ 65,Scored 9.5 9.5 Exceptional 262 reviews,Economy Double Room 1 large double bed Free cancellation Only 1 room left at this price on our site
Enetiko Rooms,https://www.booking.com/hotel/gr/enetiko-rooms.en-gb.html,€ 57,Scored 8.8 8.8 Fabulous 255 reviews,Double Room 1 double bed Only 2 rooms left at this price on our site
Baladinos Apartments,https://www.booking.com/hotel/gr/baladinos-apartments.en-gb.html,€ 49,Scored 9.2 9.2 Superb 230 reviews,Standard Studio Entire studio • 1 bathroom • 1 kitchen • 28 m² 3 single beds Only 5 left at this price on our site
Consolato Boutique,https://www.booking.com/hotel/gr/consolato-boutique.en-gb.html,€ 118,Scored 9.6 9.6 Exceptional 292 reviews,Single Room with Terrace and Panoramic View 1 double bed Only 1 room left at this price on our site
Chrispy City Living ex Nefeli,https://www.booking.com/hotel/gr/nefeli.en-gb.html,€ 152,Scored 8.5 8.5 Very good 782 reviews,Superior Double Room Beds: 1 double or 2 singles Breakfast included
Casa 28 City Apartments,https://www.booking.com/hotel/gr/casa-28-city-apartments.en-gb.html,€ 70,Scored 9.4 9.4 Superb 54 reviews,Deluxe Studio Entire studio • 1 bathroom • 1 kitchen • 16 m² 1 double bed Only 1 left at this price on our site
Ciel Collection Suites,https://www.booking.com/hotel/gr/koum-kapi.en-gb.html,€ 79,Scored 9.4 9.4 Superb 585 reviews,Junior Suite Ground Floor Private suite 1 large double bed Only 1 left at this price on our site
Alexandros Studios,https://www.booking.com/hotel/gr/alexandros-studios.en-gb.html,€ 60,Scored 9.4 9.4 Superb 670 reviews,Double Room with Pool View Multiple bed types Free cancellation No prepayment needed – pay at the property Only 3 rooms left at this price on our site
Theofilos City Hotel,https://www.booking.com/hotel/gr/theofilos.en-gb.html,€ 70,Scored 9.0 9.0 Superb 256 reviews,Budget Twin Room 2 single beds Only 2 rooms left at this price on our site
Kumba in Nea Chora,https://www.booking.com/hotel/gr/kumba-in-nea-chora.en-gb.html,€ 61,Scored 7.8 7.8 Good 911 reviews,Double or Twin Room with Balcony 2 single beds Only 3 rooms left at this price on our site
El Greco Hotel,https://www.booking.com/hotel/gr/el-greco.en-gb.html,€ 81,"Scored 9.1 9.1 Superb 1,340 reviews",Single Room - Interior Multiple bed types Breakfast included Only 3 rooms left at this price on our site
