name,url,price_text,review_score_text,recommended_unit_text
Kostaspant apartment,https://www.booking.com/hotel/gr/kostaspant-apartments.en-gb.html,,Scored 9.2 9.2 Superb 9 reviews,
Platanias House on the Beach,https://www.booking.com/hotel/gr/platanias-house-on-the-beach.en-gb.html,,Scored 7.7 7.7 Good 22 reviews,
Venizelos Studios,https://www.booking.com/hotel/gr/venizelos-studios.en-gb.html,,Scored 9.4 9.4 Superb 38 reviews,
The Hillside Home,https://www.booking.com/hotel/gr/the-hillside-home.en-gb.html,,Scored 8.9 8.9 Fabulous 32 reviews,
Jasmine,https://www.booking.com/hotel/gr/jasmine-maleme.en-gb.html,,Scored 10 10 Exceptional 23 reviews,
Olga Suites,https://www.booking.com/hotel/gr/olga-suites-maleme.en-gb.html,,Scored 9.1 9.1 Superb 17 reviews,
Sunny Suites,https://www.booking.com/hotel/gr/sunny-suites.en-gb.html,,Scored 9.1 9.1 Superb 57 reviews,
Villa Lady Dafni with private heated pool,https://www.booking.com/hotel/gr/dafni-epavli.en-gb.html,,Scored 9.9 9.9 Exceptional 17 reviews,
Island Concept Chania,https://www.booking.com/hotel/gr/island-agia-marina.en-gb.html,,Scored 8.7 8.7 Fabulous 137 reviews,
Papidakis Studios,https://www.booking.com/hotel/gr/spyros-studios.en-gb.html,,Scored 9.4 9.4 Superb 96 reviews,
Santa Irene,https://www.booking.com/hotel/gr/santa-irene.en-gb.html,,Scored 8.8 8.8 Fabulous 388 reviews,
Villa Sunrise,https://www.booking.com/hotel/gr/villa-sunrise-epano-kefalas.en-gb.html,,Scored 9.5 9.5 Exceptional 36 reviews,
Villa Nimertis,https://www.booking.com/hotel/gr/villa-nimertis.en-gb.html,,Scored 9.8 9.8 Exceptional 17 reviews,
Arhondiko,https://www.booking.com/hotel/gr/arhondiko-sougia.en-gb.html,,Scored 9.3 9.3 Superb 126 reviews,
Villa Vardis Heated Pool,https://www.booking.com/hotel/gr/vardis-villa.en-gb.html,,Scored 9.9 9.9 Exceptional 29 reviews,
Galini Studios & Apartments-Adults only,https://www.booking.com/hotel/gr/galini-sougia.en-gb.html,,Scored 9.0 9.0 Superb 440 reviews,
Elafonisi House,https://www.booking.com/hotel/gr/elafonisi-house.en-gb.html,,Scored 9.2 9.2 Superb 26 reviews,
Psamathi Living & Taste,https://www.booking.com/hotel/gr/marathi-villas.en-gb.html,,Scored 9.5 9.5 Exceptional 221 reviews,
Marinakis Sea View Studios,https://www.booking.com/hotel/gr/marinakis-sea-view-studios.en-gb.html,,Scored 9.2 9.2 Superb 74 reviews,
Villa Methexis,https://www.booking.com/hotel/gr/villa-methexis.en-gb.html,,Scored 9.9 9.9 Exceptional 19 reviews,
Almyrida Hills Villas,https://www.booking.com/hotel/gr/almyrida-hills-villas.en-gb.html,,Scored 9.7 9.7 Exceptional 12 reviews,
Giovanni's studio,https://www.booking.com/hotel/gr/giovannis-studio.en-gb.html,,Scored 9.7 9.7 Exceptional 70 reviews,
Tranquility House,https://www.booking.com/hotel/gr/tranquility-house.en-gb.html,,Scored 9.2 9.2 Superb 30 reviews,
Villa Nopigia Homeleader,https://www.booking.com/hotel/gr/villa-nopigia.en-gb.html,,Scored 9.0 9.0 Superb 19 reviews,
Casa Piedra,https://www.booking.com/hotel/gr/casa-piedra-khania.en-gb.html,,Scored 10 10 Exceptional 34 reviews,
Ktima Edem,https://www.booking.com/hotel/gr/ktima-edem-vrysai.en-gb.html,,Scored 9.8 9.8 Exceptional 18 reviews,
Kleio Studios,https://www.booking.com/hotel/gr/kleio-studios.en-gb.html,,Scored 8.8 8.8 Fabulous 159 reviews,
Flos Apartments,https://www.booking.com/hotel/gr/lilium-flos-apartments.en-gb.html,,Scored 9.8 9.8 Exceptional 78 reviews,
Estia,https://www.booking.com/hotel/gr/estia-khania-pole.en-gb.html,,Scored 9.9 9.9 Exceptional 9 reviews,
Niriida,https://www.booking.com/hotel/gr/niriida.en-gb.html,,Scored 9.1 9.1 Superb 161 reviews,
Aspro Apartments,https://www.booking.com/hotel/gr/aspro-apartments.en-gb.html,,Scored 9.7 9.7 Exceptional 49 reviews,
Elia House,https://www.booking.com/hotel/gr/elia-house-chania.en-gb.html,,Scored 9.2 9.2 Superb 45 reviews,
Tersanas Village Apartments,https://www.booking.com/hotel/gr/tersanas-village-apartments.en-gb.html,,Scored 9.0 9.0 Superb 262 reviews,
Maro Suites,https://www.booking.com/hotel/gr/maro-suites.en-gb.html,,Scored 9.6 9.6 Exceptional 155 reviews,
Caneva Luxury Villa,https://www.booking.com/hotel/gr/caneva-luxury-villa.en-gb.html,,Scored 9.7 9.7 Exceptional 20 reviews,
Pnoe Villas - Seafront Experience,https://www.booking.com/hotel/gr/pnoe-sea-front-villa.en-gb.html,,Scored 9.7 9.7 Exceptional 29 reviews,
Natalia's Apartment in Tavronitis,https://www.booking.com/hotel/gr/natalias-apartment-in-tavronitis.en-gb.html,,Scored 9.9 9.9 Exceptional 17 reviews,
Lefko Apartments,https://www.booking.com/hotel/gr/lefko-apartments.en-gb.html,,Scored 9.5 9.5 Exceptional 34 reviews,
Anthos Villas - Chania,https://www.booking.com/hotel/gr/anthos-villas-chania.en-gb.html,,Scored 10 10 Exceptional 35 reviews,
Sense of Dream Villas,https://www.booking.com/hotel/gr/sense-of-dream-villa.en-gb.html,,Scored 9.6 9.6 Exceptional 30 reviews,
Haridimos Apartments,https://www.booking.com/hotel/gr/haridimos-apartments.en-gb.html,,Scored 9.0 9.0 Superb 239 reviews,
Villa Casa Avocado,https://www.booking.com/hotel/gr/casa-avocado.en-gb.html,,Scored 9.9 9.9 Exceptional 36 reviews,
"Fivi Villa, with Heated Pool & SeaViews, By ThinkVilla",https://www.booking.com/hotel/gr/fivi-luxury-villa-close-to-sea.en-gb.html,,Scored 10 10 Exceptional 7 reviews,
Villa Persephone,https://www.booking.com/hotel/gr/persefoni-khania.en-gb.html,,Scored 9.8 9.8 Exceptional 30 reviews,
Villa Nineta,https://www.booking.com/hotel/gr/villa-nineta-tavronitis.en-gb.html,,Scored 9.6 9.6 Exceptional 11 reviews,
"Amalthia Villa, Heated Pool & Walk to the Beach, By ThinkVilla",https://www.booking.com/hotel/gr/melia-amalthia-villa-an-evanescence-retreat.en-gb.html,,Scored 9.8 9.8 Exceptional 11 reviews,
"Artemis Villa, Beachfront Retreat with Heated Pool, By ThinkVilla",https://www.booking.com/hotel/gr/melia-artemis-villa-an-evanescence-sea-retreat.en-gb.html,,Scored 9.5 9.5 Exceptional 4 reviews,
Antilia Apartments,https://www.booking.com/hotel/gr/antilia-apartments.en-gb.html,,Scored 8.2 8.2 Very good 84 reviews,
Yassas Apartment with shared pool,https://www.booking.com/hotel/gr/yassas-apartment-with-shared-pool.en-gb.html,,,
Stone House by the Sea,https://www.booking.com/hotel/gr/stone-house-by-the-sea-tavronitis.en-gb.html,,Scored 9.2 9.2 Superb 9 reviews,
Theros Hotel,https://www.booking.com/hotel/gr/theros.en-gb.html,,Scored 8.5 8.5 Very good 153 reviews,
