name,url,price_text,review_score_text,recommended_unit_text
wave rooms sea view,https://www.booking.com/hotel/gr/wave-rooms-sea-view.en-gb.html,,Scored 9.4 9.4 Superb 17 reviews,
Summer Lodge,https://www.booking.com/hotel/gr/sumlodge.en-gb.html,,Scored 8.4 8.4 Very good 54 reviews,
Chrisselen,https://www.booking.com/hotel/gr/chrisselen.en-gb.html,,Scored 9.0 9.0 Superb 18 reviews,
George's residence,https://www.booking.com/hotel/gr/georges-residence.en-gb.html,,Scored 10 10 Exceptional 3 reviews,
Konsta Mare I 80m to Sandy Beach - Walk to Everything,https://www.booking.com/hotel/gr/konsta-mare-i-80m-sandy-beach-walk-to-everything.en-gb.html,,,
Be Crete - Etherion Villa,https://www.booking.com/hotel/gr/be-crete-etherion-villa.en-gb.html,,,
Essencia Luxury Villa Agia Marina,https://www.booking.com/hotel/gr/essencia-luxury-villa-agia-marina.en-gb.html,,,
Xenia's apartment,https://www.booking.com/hotel/gr/xenias-apartment.en-gb.html,,Scored 10 10 Exceptional 18 reviews,
Corinna Mare,https://www.booking.com/hotel/gr/corinna-mare.en-gb.html,,"Scored 9.0 9.0 Superb 1,034 reviews",
P Project Houses,https://www.booking.com/hotel/gr/phouse.en-gb.html,,Scored 9.8 9.8 Exceptional 33 reviews,
Casa de philippe with unique Seaview 2' from beach,https://www.booking.com/hotel/gr/casadephilippe.en-gb.html,,Scored 9.8 9.8 Exceptional 24 reviews,
Cretan Queen Residences,https://www.booking.com/hotel/gr/cretan-queen-residences.en-gb.html,,Scored 9.7 9.7 Exceptional 73 reviews,
Olvini Villa,https://www.booking.com/hotel/gr/olvini-villa.en-gb.html,,Scored 9.7 9.7 Exceptional 22 reviews,
Villa Meltemi,https://www.booking.com/hotel/gr/villa-meltemi-daratsos.en-gb.html,,Scored 9.5 9.5 Exceptional 35 reviews,
Armeria Apartments,https://www.booking.com/hotel/gr/armeria-apartments.en-gb.html,,Scored 9.9 9.9 Exceptional 37 reviews,
Dom Suites,https://www.booking.com/hotel/gr/dom-suites.en-gb.html,,Scored 8.7 8.7 Fabulous 76 reviews,
Eleanthi Modern Living,https://www.booking.com/hotel/gr/eleanthis-apartments.en-gb.html,,Scored 9.6 9.6 Exceptional 149 reviews,
Villa Vallia - Villa Marina,https://www.booking.com/hotel/gr/villa-vallia-villa-marina.en-gb.html,,Scored 9.8 9.8 Exceptional 30 reviews,
Oliva Verde Residences,https://www.booking.com/hotel/gr/oliva-verde.en-gb.html,,Scored 9.6 9.6 Exceptional 122 reviews,
Armeria Apartments I I,https://www.booking.com/hotel/gr/diamerisma-me-oles-tis-aneseis.en-gb.html,,Scored 10 10 Exceptional 11 reviews,
La Torre Villa,https://www.booking.com/hotel/gr/la-torre-villa.en-gb.html,,Scored 9.7 9.7 Exceptional 35 reviews,
Villa Merlin,https://www.booking.com/hotel/gr/villa-merlin-chania.en-gb.html,,Scored 10 10 Exceptional 18 reviews,
Kalamaki Mare Suites,https://www.booking.com/hotel/gr/kalamaki-mare.en-gb.html,,Scored 9.6 9.6 Exceptional 229 reviews,
andys house,https://www.booking.com/hotel/gr/andys-house-chania.en-gb.html,,Scored 8.3 8.3 Very good 12 reviews,
Villa Armonia Chania,https://www.booking.com/hotel/gr/villa-armonia-khania-pole.en-gb.html,,Scored 9.2 9.2 Superb 63 reviews,
Villa Thallo,https://www.booking.com/hotel/gr/villa-thallo.en-gb.html,,Scored 9.8 9.8 Exceptional 21 reviews,
OLIVE TREE,https://www.booking.com/hotel/gr/olive-tree-galatas.en-gb.html,,Scored 9.0 9.0 Superb 7 reviews,
"Villa Remezzo Heated Pool, Beach Side",https://www.booking.com/hotel/gr/kavros-villa-heated-pool.en-gb.html,,Scored 9.6 9.6 Exceptional 38 reviews,
Celestial Luxury Villa Private Pool & Jaccuzi,https://www.booking.com/hotel/gr/celestial-luxury-villa-private-pool-amp-jaccuzi.en-gb.html,,Scored 10 10 Exceptional 6 reviews,
Grand View Villa Private Heated Pool,https://www.booking.com/hotel/gr/grand-view-villa-private-heated-pool.en-gb.html,,Scored 8.6 8.6 Fabulous 26 reviews,
Casa Ydor,https://www.booking.com/hotel/gr/casa-ydor.en-gb.html,,Scored 10 10 Exceptional 24 reviews,
Cretan Sunrise Villa Heated Pool,https://www.booking.com/hotel/gr/cretan-sunrise-villa.en-gb.html,,Scored 9.4 9.4 Superb 18 reviews,
House of Harmony (Zounaki),https://www.booking.com/hotel/gr/house-of-harmony-zounaki.en-gb.html,,Scored 10 10 Exceptional 17 reviews,
Olive Stone,https://www.booking.com/hotel/gr/olive-stone.en-gb.html,,Scored 9.8 9.8 Exceptional 7 reviews,
GREENHOUSE maleme,https://www.booking.com/hotel/gr/greenhouse-maleme.en-gb.html,,Scored 9.7 9.7 Exceptional 82 reviews,
Giovanta Villa,https://www.booking.com/hotel/gr/giovanta-villa.en-gb.html,,Scored 9.9 9.9 Exceptional 31 reviews,
Evge Experience Boutique Hotel,https://www.booking.com/hotel/gr/evge-experience.en-gb.html,,Scored 9.8 9.8 Exceptional 235 reviews,
The Olive House,https://www.booking.com/hotel/gr/nightingale-nest.en-gb.html,,Scored 10 10 Exceptional 16 reviews,
Ortansia House near the Sea,https://www.booking.com/hotel/gr/ortansia-house-near-the-sea.en-gb.html,,Scored 9.0 9.0 Superb 17 reviews,
Elaiona Country Home,https://www.booking.com/hotel/gr/elaiona-country-home.en-gb.html,,Scored 9.7 9.7 Exceptional 4 reviews,
Panorama Sea Breeze & Stunning Views - Pool Dream Gem,https://www.booking.com/hotel/gr/chania-poolside-resort-amazing-seaview-lodging.en-gb.html,,Scored 9.8 9.8 Exceptional 9 reviews,
Metoxaki,https://www.booking.com/hotel/gr/metoxaki.en-gb.html,,Scored 10 10 Exceptional 11 reviews,
Villa Festos,https://www.booking.com/hotel/gr/villa-festos.en-gb.html,,Scored 9.2 9.2 Superb 5 reviews,
b&m villas,https://www.booking.com/hotel/gr/b-amp-m-villas.en-gb.html,,Scored 9.6 9.6 Exceptional 14 reviews,
"Analisa Stone Villa - Pool, ΒΒQ, Sunset & Sea View",https://www.booking.com/hotel/gr/stone-villa-analisa-pool-bbq-sunset-sea-view.en-gb.html,,Scored 9.4 9.4 Superb 15 reviews,
Marakas Winery Family House,https://www.booking.com/hotel/gr/marakas-winery-family-house-xamoudochori.en-gb.html,,Scored 9.7 9.7 Exceptional 10 reviews,
Villa Piedra,https://www.booking.com/hotel/gr/villa-piedra-khania-pole.en-gb.html,,Scored 9.8 9.8 Exceptional 16 reviews,
Villa Magnolia,https://www.booking.com/hotel/gr/villa-magnolia-khania.en-gb.html,,Scored 10 10 Exceptional 12 reviews,
Ion villa - Xirokampi,https://www.booking.com/hotel/gr/ion-villa-xirokampi.en-gb.html,,Scored 9.0 9.0 Superb 2 reviews,
Casa di Mina's in Chania,https://www.booking.com/hotel/gr/casa-di-minas-in-chania.en-gb.html,,Scored 9.4 9.4 Superb 5 reviews,
Villa Moma,https://www.booking.com/hotel/gr/villa-moma.en-gb.html,,Scored 9.4 9.4 Superb 13 reviews,
Nina's House,https://www.booking.com/hotel/gr/nina-39-s-house-kamisiana.en-gb.html,,Scored 9.8 9.8 Exceptional 19 reviews,
Villa Spilia Homeleader,https://www.booking.com/hotel/gr/villa-spilia-spilia1.en-gb.html,,Scored 9.4 9.4 Superb 7 reviews,
Villa Daya,https://www.booking.com/hotel/gr/villa-denis-manos.en-gb.html,,Scored 9.3 9.3 Superb 11 reviews,
Villa Hibiscus,https://www.booking.com/hotel/gr/christina-villa.en-gb.html,,Scored 9.6 9.6 Exceptional 7 reviews,
Mear Luxury Holiday Homes - Cretan Sunny Gems,https://www.booking.com/hotel/gr/mear-aparments.en-gb.html,,Scored 9.1 9.1 Superb 321 reviews,
Panorama Apartment,https://www.booking.com/hotel/gr/panorama-apartment.en-gb.html,,Scored 9.1 9.1 Superb 351 reviews,
Casa dei Sogni,https://www.booking.com/hotel/gr/casa-dei-sogni-nerokouros.en-gb.html,,Scored 10 10 Exceptional 52 reviews,
Sternes house,https://www.booking.com/hotel/gr/sternes-house-sternes.en-gb.html,,Scored 9.0 9.0 Superb 25 reviews,
