name,url,price_text,review_score_text,recommended_unit_text
Anemomilos Studios,https://www.booking.com/hotel/gr/anemomilos-studios.en-gb.html,,Scored 9.6 9.6 Exceptional 161 reviews,
Hotel Caretta Beach,https://www.booking.com/hotel/gr/caretta-beach.en-gb.html,,Scored 9.4 9.4 Superb 272 reviews,
Christiana Apartments,https://www.booking.com/hotel/gr/christiana-apartments.en-gb.html,,Scored 9.4 9.4 Superb 83 reviews,
Electra Studios,https://www.booking.com/hotel/gr/electra-studios-gerani-chanion.en-gb.html,,Scored 9.3 9.3 Superb 164 reviews,
Elena Rooms & Apartments,https://www.booking.com/hotel/gr/elena-rooms-apartments-gerani.en-gb.html,,Scored 7.8 7.8 Good 416 reviews,
Hippokratis Apartments,https://www.booking.com/hotel/gr/hippokratis-apartments.en-gb.html,,Scored 8.8 8.8 Fabulous 52 reviews,
Aris Apartments,https://www.booking.com/hotel/gr/villa-arhontariki-1-2-apartments-aris.en-gb.html,,Scored 8.9 8.9 Fabulous 139 reviews,
Androulakis Apartments,https://www.booking.com/hotel/gr/androulakis-apts.en-gb.html,,Scored 9.3 9.3 Superb 156 reviews,
Kostakis Beach,https://www.booking.com/hotel/gr/kostakis-beach.en-gb.html,,Scored 8.9 8.9 Fabulous 248 reviews,
Gerona Mare Apartments,https://www.booking.com/hotel/gr/gerona-mare-apartments.en-gb.html,,Scored 8.7 8.7 Fabulous 280 reviews,
Andy's Gardens,https://www.booking.com/hotel/gr/andys-garden.en-gb.html,,Scored 8.7 8.7 Fabulous 90 reviews,
Calmaliving Seaside apartments with pool,https://www.booking.com/hotel/gr/calmaliving-chania.en-gb.html,,Scored 9.6 9.6 Exceptional 37 reviews,
Delta Beach,https://www.booking.com/hotel/gr/delta-studios.en-gb.html,,Scored 8.6 8.6 Fabulous 93 reviews,
Studios Kydonia,https://www.booking.com/hotel/gr/studios-kydonia.en-gb.html,,Scored 8.3 8.3 Very good 120 reviews,
Baladinos Apartments,https://www.booking.com/hotel/gr/baladinos-apartments.en-gb.html,,Scored 9.2 9.2 Superb 231 reviews,
Passatempo Casa - 3 bedroom apartment close to the swimming pool,https://www.booking.com/hotel/gr/passatempo-casa.en-gb.html,,Scored 9.6 9.6 Exceptional 18 reviews,
Villa Fleria Seaside Studios & Apts,https://www.booking.com/hotel/gr/villa-fleria-seaside-studios-amp-apts.en-gb.html,,Scored 9.4 9.4 Superb 71 reviews,
Mini Art Apartments,https://www.booking.com/hotel/gr/mini-art-apartment.en-gb.html,,Scored 9.6 9.6 Exceptional 32 reviews,
Welcome U,https://www.booking.com/hotel/gr/welcome-u.en-gb.html,,Scored 9.8 9.8 Exceptional 16 reviews,
"Villa AnnaNiko, Luxury Villa, 2 Heated Pools, Jacuzzi, Gym, Stunning Views, Green Energy",https://www.booking.com/hotel/gr/annaniko-villa-amazing-views-spacious-pools.en-gb.html,,Scored 9.7 9.7 Exceptional 9 reviews,
Wooden Beach House,https://www.booking.com/hotel/gr/wooden-beach-house.en-gb.html,,Scored 10 10 Exceptional 7 reviews,
Pardalakis Studios,https://www.booking.com/hotel/gr/pardalakis-studios.en-gb.html,,Scored 8.8 8.8 Fabulous 30 reviews,
Matzi Hotel Apartments,https://www.booking.com/hotel/gr/matzi-appartments-2.en-gb.html,,Scored 9.1 9.1 Superb 86 reviews,
VILLA BLUE VEDERE,https://www.booking.com/hotel/gr/villa-blue-vedere.en-gb.html,,Scored 9.7 9.7 Exceptional 27 reviews,
Marika Beach Hotel,https://www.booking.com/hotel/gr/marika.en-gb.html,,Scored 8.7 8.7 Fabulous 417 reviews,
Linda Apartments Platanias,https://www.booking.com/hotel/gr/linda-apartments-platanias.en-gb.html,,Scored 9.0 9.0 Superb 271 reviews,
Stellar Apartments I,https://www.booking.com/hotel/gr/stellar-i.en-gb.html,,Scored 8.6 8.6 Fabulous 48 reviews,
Ilias Apartments,https://www.booking.com/hotel/gr/ilias-apartments-platanias.en-gb.html,,Scored 9.5 9.5 Exceptional 203 reviews,
Kallitsakis Beach,https://www.booking.com/hotel/gr/kallitsakis-beach.en-gb.html,,Scored 9.3 9.3 Superb 419 reviews,
John Apartments,https://www.booking.com/hotel/gr/john-apartments.en-gb.html,,Scored 8.9 8.9 Fabulous 193 reviews,
Amaryllis,https://www.booking.com/hotel/gr/amaryllis-platania-s.en-gb.html,,Scored 9.1 9.1 Superb 396 reviews,
Vasiliki Apartments,https://www.booking.com/hotel/gr/vasiliki-apartments-platanias-chania.en-gb.html,,Scored 8.6 8.6 Fabulous 70 reviews,
Twins Apartments,https://www.booking.com/hotel/gr/twins-apartments.en-gb.html,,Scored 9.5 9.5 Exceptional 174 reviews,
Porto Platanias Village Resort,https://www.booking.com/hotel/gr/porto-platanias-village-resort.en-gb.html,,Scored 8.3 8.3 Very good 405 reviews,
